root,file,ra,dec,srcid,msamet,slitid,grating,exptime,wmin,wmax,sn50,flux50,ctime,version,References,nRef,zfit,z,grade,reviewer,comment,thumb,slit_thumb,FITS,fnu,flam,has_v3,flam_v3
jades-gds-w04-v4,jades-gds-w04-v4_g395h-f290lp_1212_2518.spec.fits,53.07517877,-27.83148042,2518,jw01212054001_01_msa.fits,132,G395H_F290LP,1750.7,2.83,4.48,21,52.062,00:19.6,0.9.5.dev2+g80b81b4,-,0,0.6701,0.6701,3,Auto,Redshift matches jades-gds-w04-v4_prism-clear_1212_2518 z=0.6715,,,FITS   d2d,,,0,
jades-gds-w04-v4,jades-gds-w04-v4_g235h-f170lp_1212_2518.spec.fits,53.07517877,-27.83148042,2518,jw01212054001_01_msa.fits,132,G235H_F170LP,1604.8,1.66,2.66,20,49.112,00:24.4,0.9.5.dev2+g80b81b4,-,0,0.6728,0.6728,3,Auto,Redshift matches jades-gds-w04-v4_prism-clear_1212_2518 z=0.6715,,,FITS   d2d,,,0,
jades-gds-w07-v4,jades-gds-w07-v4_prism-clear_1212_4378.spec.fits,53.12638764,-27.87718248,72,jw01212007001_01_msa.fits,72,PRISM_CLEAR,2407.2,0.55,5.5,64.4,38.133,57:09.5,0.9.5.dev2+g80b81b4,-,0,0.7073,0.7073,3,Auto,Redshift matches jades-gds-w07-v3_prism-clear_b72 z=0.7079,,,FITS   d2d,,,1,
jades-gds05-v4,jades-gds05-v4_g395m-f290lp_1286_189524.spec.fits,53.1314463,-27.8413826,189524,jw01286005001_05_msa.fits,782,G395M_F290LP,9191,2.69,5.5,46.1,35.577,50:11.0,0.9.5.dev2+g80b81b4,CGGu21  z=N/A,1,1.6144,1.6144,3,Auto,Redshift matches jades-gds05-v3_g395m-f290lp_1286_189524 z=1.6148,,,FITS   d2d,,,1,
jades-gds-w06-v4,jades-gds-w06-v4_prism-clear_1212_1135.spec.fits,53.10485981,-27.9139686,139,jw01212006001_01_msa.fits,139,PRISM_CLEAR,2407.2,0.55,5.5,132.7,33.649,58:05.4,0.9.5.dev2+g80b81b4,-,0,1.0898,1.0898,3,Auto,Redshift matches jades-gds-w06-v3_prism-clear_b139 z=1.0902,,,FITS   d2d,,,1,
jades-gds-w04-v4,jades-gds-w04-v4_prism-clear_1212_2518.spec.fits,53.07517877,-27.83148042,2518,jw01212054001_01_msa.fits,132,PRISM_CLEAR,2407.2,0.55,5.5,123.3,33.059,00:15.7,0.9.5.dev2+g80b81b4,-,0,0.6569,0.6715,3,GBr,interactive fit 3 119 1.3 21,,,FITS   d2d,,,0,
jades-gds05-v4,jades-gds05-v4_prism-clear_1286_189524.spec.fits,53.1314463,-27.8413826,189524,jw01286005001_06_msa.fits,963,PRISM_CLEAR,8534.5,0.55,5.5,117.8,32.657,50:05.6,0.9.5.dev2+g80b81b4,CGGu21  z=N/A,1,1.5754,1.6129,3,GBr,interactive fit 1 300 1.3 21,,,FITS   d2d,,,1,
jades-gds05-v4,jades-gds05-v4_g395h-f290lp_1286_189524.spec.fits,53.1314463,-27.8413826,189524,jw01286005001_05_msa.fits,782,G395H_F290LP,8534.5,2.83,4.63,26.1,32.589,50:31.2,0.9.5.dev2+g80b81b4,CGGu21  z=N/A,1,1.6148,1.6148,3,Auto,Redshift matches jades-gds05-v3_g395m-f290lp_1286_189524 z=1.6148,,,FITS   d2d,,,1,
jades-gds05-v4,jades-gds05-v4_g235m-f170lp_1286_189524.spec.fits,53.1314463,-27.8413826,189524,jw01286005001_01_msa.fits,116,G235M_F170LP,8534.5,1.61,4.55,27.3,27.953,50:21.9,0.9.5.dev2+g80b81b4,CGGu21  z=N/A,1,1.6144,1.6144,3,Auto,Redshift matches jades-gds05-v3_g395m-f290lp_1286_189524 z=1.6148,,,FITS   d2d,,,1,
jades-gds-w07-v4,jades-gds-w07-v4_prism-clear_1212_5119.spec.fits,53.12532692,-27.86134849,6,jw01212007001_01_msa.fits,6,PRISM_CLEAR,2407.2,0.55,5.5,110.2,24.079,57:16.1,0.9.5.dev2+g80b81b4,-,0,0.5331,0.5331,3,Auto,Redshift matches jades-gds-w07-v3_g395h-f290lp_b6 z=0.5322,,,FITS   d2d,,,1,
jades-gds-w06-v4,jades-gds-w06-v4_prism-clear_1212_1116.spec.fits,53.0959904,-27.91460176,140,jw01212006001_01_msa.fits,140,PRISM_CLEAR,2407.2,0.55,5.5,27.4,18.042,58:28.2,0.9.5.dev2+g80b81b4,-,0,0.657,0.657,3,Auto,Redshift matches jades-gds-w06-v3_g235h-f170lp_b140 z=0.6554,,,FITS   d2d,,,1,
